bam_file_list	vcf_list	sample_explanation_pop_explanation	groups	altitud
./bam/PpNa2003_04:CABV0ANXX:1:508385.sort.bam	PpNa2003_04:CABV0ANXX:1:508385	PpNa2003b4_PpNa2003b	LR>2000	1890
./bam/PpNa2003_05:CABV0ANXX:1:508386.sort.bam	PpNa2003_05:CABV0ANXX:1:508386	PpNa2003b5_PpNa2003b	LR>2000	1890
./bam/PpNa2003_06:CABV0ANXX:1:508387.sort.bam	PpNa2003_06:CABV0ANXX:1:508387	PpNa2003b6_PpNa2003b	LR>2000	1890
./bam/PpTm1978:CABV0ANXX:3:508563.sort.bam	PpTM2010_02:CABV0ANXX:3:508564	PpTp201001_PpTp2010	Zpr>2000	1101
./bam/PpTM2010_02:CABV0ANXX:3:508564.sort.bam	PpTM2010_03:CABV0ANXX:3:508565	PpTp201002_PpTp2010	Zpr>2000	1101
./bam/PpTM2010_03:CABV0ANXX:3:508565.sort.bam	PpTm1978:CABV0ANXX:3:508563	PpTp197802_PpTp1978	Zpr1980	1450
./bam/PpTp1984_01:CABV0ANXX:2:508390.sort.bam	PpTp1984_01:CABV0ANXX:2:508390	PpTp1984b1_PpTp1984b	Zpr1980	1795
./bam/PpTp1984_01:CABV0ANXX:3:508527.sort.bam	PpTp1984_01:CABV0ANXX:3:508527	PpTp1984a2_PpTp1984a	Zpr1980	1465
./bam/PpTp1984_02:CABV0ANXX:3:508528.sort.bam	PpTp1984_02:CABV0ANXX:3:508528	PpTp1984a3_PpTp1984a	Zpr1980	1465
./bam/PpTp1984_03:CABV0ANXX:3:508529.sort.bam	PpTp1984_03:CABV0ANXX:3:508529	PpTp1984a4_PpTp1984a	Zpr1980	1465
./bam/PpTp2003_01:CABV0ANXX:3:508543.sort.bam	PpTp2003_01:CABV0ANXX:3:508543	ChTm200301_ChTm2003	Zmx>2000	2705
./bam/PpTp2003_02:CABV0ANXX:3:508544.sort.bam	PpTp2003_02:CABV0ANXX:3:508544	ChTm200302_ChTm2003	Zmx>2000	2705
./bam/PpTp2003_03:CABV0ANXX:3:508545.sort.bam	PpTp2003_03:CABV0ANXX:3:508545	ChTm200303_ChTm2003	Zmx>2000	2705
./bam/PpTp2003_04:CABV0ANXX:3:508546.sort.bam	PpTp2003_04:CABV0ANXX:3:508546	ChTm200304_ChTm2003	Zmx>2000	2705
./bam/PpTp2003_05:CABV0ANXX:3:508547.sort.bam	PpTp2003_05:CABV0ANXX:3:508547	ChTm200305_ChTm2003	Zmx>2000	2705
./bam/PpTp2010_01:CABV0ANXX:3:508551.sort.bam	PpTp2010_01:CABV0ANXX:3:508551	PpTp201003_PpTp2010	Zpr>2000	1101
./bam/PpTp2010_03:CABV0ANXX:3:508552.sort.bam	PpTp2010_03:CABV0ANXX:3:508552	PpTp201101_PpTp2011	Zpr>2000	1439
